comments,video_id
My dad was the biggest Dune fan ever (books and old film). He was so excited when this trailer came out. Sadly due to the Covid delays he passed away before it was released. When it comes out I'll be watching it day one and he'll be there with me in spirit. Hope you enjoy it Dad x,ygUERHVuZQ%3D%3D
"Even Herbert himself wouldn't have found the words to describe how good this film is. A life-long Dune fan to other Dune fans, they didn't ruin it. They might have somehow elevated Dune to another level and I didn't think that would ever be possible. See it as a soon as possible on the biggest screen you can find.",ygUERHVuZQ%3D%3D
Watched this masterpiece a couple hours ago in the theater and one word “speechless” it was BEYOND incredible. It was phenomenal.,ygUERHVuZQ%3D%3D
"Man I am so glad Oscar Issac is getting so many roles these days, his screen presence was terrific in it.",ygUERHVuZQ%3D%3D
"People need to understand that Dune isn't a flashy, fast-paced thrill ride like Star wars, it is focused more on philosophies, worldbuilding and conveying lore than instant giving audiences their dopamine fix, its much more artistic than gimmicky. It is an adaption of a book that prompts readers to think, so if you go into cinema expecting simple fun than you will be dissapointed, Dune is anything bot simple and is not for everyone.",ygUERHVuZQ%3D%3D
The sound design in this movie is off the charts. It had better get nominated for an Oscar.,ygUERHVuZQ%3D%3D
I can’t describe in words how much I hope this movie doesn’t disappoint me.,ygUERHVuZQ%3D%3D
"Absolutely amazing choice to put Eclipse by Pink Floyd in this trailer. It gave me goosebumps, and it matched the vibe of the movie perfectly.",ygUERHVuZQ%3D%3D
"I Just watched dune yesterday and this is the adaptation that we were waiting for, the score, the scale, the story. All of it was amazing. Let's hope that hits the box office for Dune part two",ygUERHVuZQ%3D%3D
"I think 2:02 may be the most stunning scene in the movie. The visual effects perfectly encapsulate the massiveness of the sandworm and the desert, and the music perfectly enhances that. Every scene was a piece of art, but if I had to choose one, I'd choose this.",ygUERHVuZQ%3D%3D
"Just saw it in the cinema. It could very well be the most epic film I've ever seen. I worked for 12 years as a projectionist so I've seen a LOT of films. Finally this fantastic story has gotten the screen adaptation it deserves. The gravity of the books has been captured perfectly in this film, it's absolutely unreal. Incomparable. I'm going to see it on the big screen again next week. The only other movies I did that for was the LOTR trilogy.",ygUERHVuZQ%3D%3D
It rarely happens: the film is so much better than this trailer.,ygUERHVuZQ%3D%3D
"for those wondering why they are using swords thousands of years into the future:

0:49 most people carry these personal shields on them. they completely deflect any fast moving projectiles. guns are obsolete, but there are beam energy weapons called Lasguns, which are somewhat common. however, they arent widely used because a Lasgun beam hitting a personal shield triggers a massive explosion (pretty much nuclear). so both people would die. ",ygUERHVuZQ%3D%3D
"Never read the books or watched the original movie. This was mind blowingly amazing. It's rare that a movie draws me in and captivates me to the degree this movie did. The acting, music, pace, special FX and story were all 100% on point.",ygUERHVuZQ%3D%3D
"This trailer was well done, but the truth is, the movie is even better! Was NOT expecting that…",ygUERHVuZQ%3D%3D
"This movies soundtrack was everything, Hans Zimmer never dissapoints",ygUERHVuZQ%3D%3D
"I love how Herbert chose different cultures/civilizations for his ""House"" paradigm.  House Atreides = Greek, descendants of Alexander the Great.  House Corrino = Roman, descendants of Julius Caesar.  House Harkonnen = Swedish/Finnish descendants of German ""barbarian"" tribes.  The Fremen = Arabic nomadic tribesmen, hence their language is high influenced by Arabic.",ygUERHVuZQ%3D%3D
"I must admit, I have become obsessed. This has been the best introduction to a novel series for me since Harry Potter. And looking at how big that story became it was inevitable I'd be swept in by the beauty of another. Frank Herbert is a genius and in spite of this movie, even in the spectacular attempt it has made to echo the story, indeed it is the writing that is the bright moon that sparks the light in this gem. ",ygUERHVuZQ%3D%3D
This trailer got me so intrigued with the world of Dune that I started reading the book. It does not dissapoint. Now my most anticipated film of 2021.,ygUERHVuZQ%3D%3D
Every single person that worked on this film should be extremely proud. A true masterpiece,ygUERHVuZQ%3D%3D
I’ve seen the movie more than 10 times and this trailer still gives me chills,ygUERHVuZQ%3D%3D
"Such a unique film! I absolutely loved it. Except it wasnt just a film, it was an experience. Watched it twice on the big screen and still adore it 4 months later! The way it was filmed, edited, the visual effects, the acting and music all culminated into an epic, must-see visual masterpiece. They are definitely deserving of the 6 oscars and 10 nominations. I can't wait for part 2!!! This is only the beginning ",ygUERHVuZQ%3D%3D
"Important fact, this film received 10 nominations at the 94th Academy Awards, including Best Picture, and won the most awards at the ceremony with six awards for Best Sound, Original Soundtrack, Film Editing, production design, visual effects and photography",ygUERHVuZQ%3D%3D
"I first watched the movie twice in cinema and now Ive read book one and two and when seeing that trailer again, it just boggles my mind how well Denis has brought all the characters and worlds to life.",ygUERHVuZQ%3D%3D
“I must not fear. Fear is the mind-killer” - Me hyping myself up to go into a theater to see this,ygUERHVuZQ%3D%3D
To put simply: WOW! You can really feel that someone who LOVES Dune brought this together. My gosh this was even better than I expected it to be!,ygUERHVuZQ%3D%3D
"I had a passing interest in dune before. The new movie was fantastic, but I still find myself coming back to watch this trailer. It's absolutely masterful and got me so excited about a fantasy world I knew nearly nothing about.",ygUERHVuZQ%3D%3D
